10.253.214.9 2026-09-11 23:11:39.017 UTC [248] authenticator@postgres LOG:  process 248 still waiting for ShareLock on transaction 1167 after 1.399 ms
10.253.214.9 2026-09-11 23:11:39.021 UTC [248] authenticator@postgres LOG:  process 248 acquired ShareLock on transaction 1167 after 4.894 ms
10.253.214.9 2026-09-11 23:11:39.022 UTC [247] authenticator@postgres LOG:  process 247 still waiting for ShareLock on transaction 1168 after 1.057 ms
10.253.214.9 2026-09-11 23:11:39.024 UTC [252] authenticator@postgres LOG:  process 252 still waiting for AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 1.044 ms
10.253.214.9 2026-09-11 23:11:39.024 UTC [250] authenticator@postgres LOG:  process 250 still waiting for AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 1.064 ms
10.253.214.9 2026-09-11 23:11:39.024 UTC [253] authenticator@postgres LOG:  process 253 still waiting for AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 1.069 ms
10.253.214.9 2026-09-11 23:11:39.025 UTC [247] authenticator@postgres LOG:  process 247 acquired ShareLock on transaction 1168 after 3.648 ms
10.253.214.9 2026-09-11 23:11:39.025 UTC [249] authenticator@postgres LOG:  process 249 still waiting for AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 1.033 ms
10.253.214.9 2026-09-11 23:11:39.025 UTC [252] authenticator@postgres LOG:  process 252 acquired AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 1.663 ms
10.253.214.9 2026-09-11 23:11:39.025 UTC [254] authenticator@postgres LOG:  process 254 still waiting for AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 1.087 ms
10.253.214.9 2026-09-11 23:11:39.026 UTC [251] authenticator@postgres LOG:  process 251 still waiting for AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 1.791 ms
10.253.214.9 2026-09-11 23:11:39.026 UTC [252] authenticator@postgres LOG:  process 252 still waiting for ShareLock on transaction 1169 after 1.018 ms
10.253.214.9 2026-09-11 23:11:39.026 UTC [256] authenticator@postgres LOG:  process 256 still waiting for AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 1.034 ms
10.253.214.9 2026-09-11 23:11:39.028 UTC [252] authenticator@postgres LOG:  process 252 acquired ShareLock on transaction 1169 after 3.275 ms
10.253.214.9 2026-09-11 23:11:39.028 UTC [250] authenticator@postgres LOG:  process 250 acquired AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 4.773 ms
10.253.214.9 2026-09-11 23:11:39.029 UTC [248] authenticator@postgres LOG:  process 248 still waiting for AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 1.041 ms
10.253.214.9 2026-09-11 23:11:39.029 UTC [250] authenticator@postgres LOG:  process 250 still waiting for ShareLock on transaction 1170 after 1.071 ms
10.253.214.9 2026-09-11 23:11:39.030 UTC [255] authenticator@postgres LOG:  process 255 still waiting for AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 1.500 ms
10.253.214.9 2026-09-11 23:11:39.032 UTC [250] authenticator@postgres LOG:  process 250 acquired ShareLock on transaction 1170 after 3.883 ms
10.253.214.9 2026-09-11 23:11:39.032 UTC [253] authenticator@postgres LOG:  process 253 acquired AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 8.841 ms
10.253.214.9 2026-09-11 23:11:39.033 UTC [247] authenticator@postgres LOG:  process 247 still waiting for AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 1.312 ms
10.253.214.9 2026-09-11 23:11:39.033 UTC [253] authenticator@postgres LOG:  process 253 still waiting for ShareLock on transaction 1171 after 1.157 ms
10.253.214.9 2026-09-11 23:11:39.034 UTC [252] authenticator@postgres LOG:  process 252 still waiting for AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 1.076 ms
10.253.214.9 2026-09-11 23:11:39.034 UTC [253] authenticator@postgres LOG:  process 253 acquired ShareLock on transaction 1171 after 1.918 ms
10.253.214.9 2026-09-11 23:11:39.034 UTC [249] authenticator@postgres LOG:  process 249 acquired AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 10.544 ms
10.253.214.9 2026-09-11 23:11:39.036 UTC [249] authenticator@postgres LOG:  process 249 still waiting for ShareLock on transaction 1172 after 1.373 ms
10.253.214.9 2026-09-11 23:11:39.036 UTC [250] authenticator@postgres LOG:  process 250 still waiting for AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 1.088 ms
10.253.214.9 2026-09-11 23:11:39.036 UTC [249] authenticator@postgres LOG:  process 249 acquired ShareLock on transaction 1172 after 1.695 ms
10.253.214.9 2026-09-11 23:11:39.036 UTC [251] authenticator@postgres LOG:  process 251 acquired AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 11.968 ms
10.253.214.9 2026-09-11 23:11:39.037 UTC [251] authenticator@postgres LOG:  process 251 still waiting for ShareLock on transaction 1173 after 1.297 ms
10.253.214.9 2026-09-11 23:11:39.037 UTC [253] authenticator@postgres LOG:  process 253 still waiting for AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 1.033 ms
10.253.214.9 2026-09-11 23:11:39.038 UTC [251] authenticator@postgres LOG:  process 251 acquired ShareLock on transaction 1173 after 1.685 ms
10.253.214.9 2026-09-11 23:11:39.038 UTC [254] authenticator@postgres LOG:  process 254 acquired AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 13.449 ms
10.253.214.9 2026-09-11 23:11:39.039 UTC [254] authenticator@postgres LOG:  process 254 still waiting for ShareLock on transaction 1174 after 1.289 ms
10.253.214.9 2026-09-11 23:11:39.039 UTC [249] authenticator@postgres LOG:  process 249 still waiting for AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 1.130 ms
10.253.214.9 2026-09-11 23:11:39.039 UTC [254] authenticator@postgres LOG:  process 254 acquired ShareLock on transaction 1174 after 1.556 ms
10.253.214.9 2026-09-11 23:11:39.039 UTC [256] authenticator@postgres LOG:  process 256 acquired AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 14.225 ms
10.253.214.9 2026-09-11 23:11:39.041 UTC [256] authenticator@postgres LOG:  process 256 still waiting for ShareLock on transaction 1175 after 1.534 ms
10.253.214.9 2026-09-11 23:11:39.043 UTC [256] authenticator@postgres LOG:  process 256 acquired ShareLock on transaction 1175 after 3.895 ms
10.253.214.9 2026-09-11 23:11:39.043 UTC [248] authenticator@postgres LOG:  process 248 acquired AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 15.053 ms
10.253.214.9 2026-09-11 23:11:39.044 UTC [251] authenticator@postgres LOG:  process 251 still waiting for AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 1.240 ms
10.253.214.9 2026-09-11 23:11:39.044 UTC [248] authenticator@postgres LOG:  process 248 still waiting for ShareLock on transaction 1176 after 1.228 ms
10.253.214.9 2026-09-11 23:11:39.045 UTC [254] authenticator@postgres LOG:  process 254 still waiting for AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 1.099 ms
10.253.214.9 2026-09-11 23:11:39.045 UTC [248] authenticator@postgres LOG:  process 248 acquired ShareLock on transaction 1176 after 1.828 ms
10.253.214.9 2026-09-11 23:11:39.045 UTC [255] authenticator@postgres LOG:  process 255 acquired AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 16.843 ms
10.253.214.9 2026-09-11 23:11:39.046 UTC [247] authenticator@postgres LOG:  process 247 acquired AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 13.728 ms
10.253.214.9 2026-09-11 23:11:39.047 UTC [247] authenticator@postgres LOG:  process 247 still waiting for ShareLock on transaction 1178 after 1.053 ms
10.253.214.9 2026-09-11 23:11:39.048 UTC [248] authenticator@postgres LOG:  process 248 still waiting for AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 1.042 ms
10.253.214.9 2026-09-11 23:11:39.048 UTC [247] authenticator@postgres LOG:  process 247 acquired ShareLock on transaction 1178 after 2.627 ms
